coord_id,probe_id,seqnames,start,annotation,distanceToTSS,gene_entrez,gene_symbol,gene_name_full
chr7-37354955,cg21917089,chr7,37354955,"Intron (ENST00000310758.9/9844, intron 1 of 21)",94268,9844,ELMO1,engulfment and cell motility 1
chr7-39070512,cg17306861,chr7,39070512,"Intron (ENST00000518318.7/11281, intron 1 of 9)",-56960,100689074,POU6F2-AS2,POU6F2 antisense RNA 2
chr7-40299325,cg26189827,chr7,40299325,"Intron (ENST00000401647.7/79783, intron 7 of 12)",-2082,105375245,LOC105375245,uncharacterized LOC105375245
chr7-48085323,cg14241836,chr7,48085323,Distal Intergenic,-3305,7378,UPP1,uridine phosphorylase 1
chr7-50307471,cg16969189,chr7,50307471,"Intron (ENST00000698573.1/10320, intron 1 of 4)",3403,10320,IKZF1,IKAROS family zinc finger 1
chr7-50308577,cg02852025,chr7,50308577,"Intron (ENST00000698573.1/10320, intron 1 of 4)",4509,10320,IKZF1,IKAROS family zinc finger 1
chr7-50318228,cg10551353,chr7,50318228,"Intron (ENST00000698573.1/10320, intron 1 of 4)",14160,10320,IKZF1,IKAROS family zinc finger 1
chr7-51605747,cg16745057,chr7,51605747,"Intron (ENST00000769890.1/105375278, intron 4 of 8)",-8519,124901634,LOC124901634,uncharacterized LOC124901634
chr7-53035616,cg05891292,chr7,53035616,Promoter,-17,285877,POM121L12,POM121 transmembrane nucleoporin like 12
chr7-55534678,cg00381233,chr7,55534678,"Intron (ENST00000462326.5/81552, intron 1 of 4)",38310,81552,VOPP1,VOPP1 WW domain binding protein
chr7-55538647,cg17334468,chr7,55538647,"Exon (ENST00000625836.2/81552, exon 1 of 5)",34341,81552,VOPP1,VOPP1 WW domain binding protein
chr7-666055,cg16581738,chr7,666055,"Intron (ENST00000544935.5/5575, intron 4 of 10)",-60644,54919,DNAAF5,dynein axonemal assembly factor 5
chr7-70678776,cg07378424,chr7,70678776,"Intron (ENST00000644939.1/26053, intron 5 of 18)",17865,107986709,LOC107986709,uncharacterized LOC107986709
chr7-74029523,cg09079855,chr7,74029523,"Intron (ENST00000445912.5/2006, intron 1 of 31)",1734,2006,ELN,elastin
chr7-771470,cg13595880,chr7,771470,"Exon (ENST00000491496.1/54919, exon 2 of 2)",-43820,5575,PRKAR1B,protein kinase cAMP-dependent type I regulatory subunit beta
chr7-78771251,cg04379508,chr7,78771251,5' UTR,-237737,100874021,MAGI2-AS2,MAGI2 antisense RNA 2
chr7-97503851,cg12007339,chr7,97503851,"Intron (ENST00000813676.1/105375416, intron 2 of 3)",61973,105375416,LINC03158,long intergenic non-protein coding RNA 3158
chr8-117440242,cg19908211,chr8,117440242,Distal Intergenic,80444,105375716,LOC105375716,uncharacterized LOC105375716
chr8-118905391,cg20085815,chr8,118905391,Promoter,-1165,124902008,LOC124902008,uncharacterized LOC124902008
chr8-119072109,cg18468919,chr8,119072109,"Intron (ENST00000521788.1/10584, intron 2 of 6)",-3327,101927513,LOC101927513,uncharacterized LOC101927513
chr8-119672942,cg23183559,chr8,119672942,"Intron (ENST00000427067.6/5168, intron 1 of 25)",511,5168,ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2
chr8-119673076,cg09313482,chr8,119673076,"Intron (ENST00000427067.6/5168, intron 1 of 25)",377,5168,ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2
chr8-127795594,cg24032265,chr8,127795594,Promoter,-368,100302185,MIR1204,microRNA 1204
chr8-140598334,cg21208682,chr8,140598334,"Intron (ENST00000220592.10/27161, intron 1 of 18)",37299,27161,AGO2,argonaute RISC catalytic component 2
chr8-143495067,cg24974704,chr8,143495067,"Intron (ENST00000262577.6/23144, intron 4 of 11)",63319,100310756,LOC100310756,uncharacterized LOC100310756
chr8-20953096,cg04495735,chr8,20953096,Promoter,-31,102467222,LINC03023,long intergenic non-protein coding RNA 3023
chr8-30802978,cg00818853,chr8,30802978,"Intron (ENST00000518564.1/5516, intron 1 of 2)",11336,5516,PPP2CB,protein phosphatase 2 catalytic subunit beta
chr8-3190013,cg25338036,chr8,3190013,"Exon (ENST00000335551.11/64478, exon 22 of 56)",-219120,105377791,LOC105377791,uncharacterized LOC105377791
chr8-35790422,cg27605823,chr8,35790422,"Exon (ENST00000404895.7/137970, exon 17 of 17)",-72085,124902062,LOC124902062,uncharacterized LOC124902062
chr8-48735143,cg15397374,chr8,48735143,Promoter,168,79645,CLXN,calaxin
chr8-48735157,cg22836229,chr8,48735157,Promoter,154,79645,CLXN,calaxin
chr8-53876764,cg12070159,chr8,53876764,"Intron (ENST00000297313.8/8601, intron 1 of 5)",24969,8601,RGS20,regulator of G protein signaling 20
chr8-54209407,cg25500267,chr8,54209407,Distal Intergenic,74166,29088,MRPL15,mitochondrial ribosomal protein L15
chr8-6052422,cg10061374,chr8,6052422,"Intron (ENST00000519555.1/105377797, intron 4 of 4)",-15448,105377796,LOC105377796,uncharacterized LOC105377796
chr8-66173587,cg04041976,chr8,66173587,"Intron (ENST00000353317.9/84675, intron 8 of 8)",-3651,124901954,LOC124901954,uncharacterized LOC124901954
chr8-66542431,cg10687107,chr8,66542431,Distal Intergenic,-27626,124901955,LOC124901955,uncharacterized LOC124901955
chr8-69492610,cg17524017,chr8,69492610,"Intron (ENST00000525061.5/23213, intron 1 of 4)",3312,100505739,LINC01603,long intergenic non-protein coding RNA 1603
chr8-69492968,cg20169702,chr8,69492968,5' UTR,2954,100505739,LINC01603,long intergenic non-protein coding RNA 1603
chr8-73991525,cg13213009,chr8,73991525,Promoter,133,23643,LY96,lymphocyte antigen 96
chr8-74251149,cg20904503,chr8,74251149,"Intron (ENST00000342232.5/56704, intron 3 of 5)",-69464,54332,GDAP1,ganglioside induced differentiation associated protein 1
chr8-80727633,cg26695909,chr8,80727633,"Intron (ENST00000519936.2/619279, intron 2 of 8)",147148,619279,ZNF704,zinc finger protein 704
chr8-86657990,cg27312173,chr8,86657990,"Exon (ENST00000512938.2/ENST00000512938.2, exon 1 of 1)",-47661,107986895,CNGB3-AS1,CNGB3 antisense RNA 1
chr8-94638870,cg06699564,chr8,94638870,"Exon (ENST00000839398.1/ENST00000839398.1, exon 1 of 2)",2028,100288748,LINC02894,long intergenic non-protein coding RNA 2894
chr8-94640010,cg21233460,chr8,94640010,"Exon (ENST00000839396.1/ENST00000839396.1, exon 1 of 2)",888,100288748,LINC02894,long intergenic non-protein coding RNA 2894
chr8-95073156,cg22234712,chr8,95073156,Promoter,37,105375650,MIR3150BHG,MIR3150B host gene
chr8-95073460,cg17495087,chr8,95073460,Promoter,-267,105375650,MIR3150BHG,MIR3150B host gene
chr8-98939501,cg03020554,chr8,98939501,"Intron (ENST00000523601.5/6788, intron 1 of 12)",3326,6788,STK3,serine/threonine kinase 3
chr9-113564929,cg02142972,chr9,113564929,"Intron (ENST00000374140.6/5998, intron 20 of 25)",-86027,105376223,LOC105376223,uncharacterized LOC105376223
chr9-114958656,cg04991327,chr9,114958656,"Intron (ENST00000648852.1/124902255, intron 2 of 5)",-10928,50514,DELEC1,deleted in esophageal cancer 1
chr9-117936286,cg12059723,chr9,117936286,"Intron (ENST00000697636.1/105376247, intron 2 of 5)",-39030,105376243,LOC105376243,uncharacterized LOC105376243
chr9-122220133,cg13490403,chr9,122220133,"Intron (ENST00000373755.6/26468, intron 3 of 8)",9493,26468,LHX6,LIM homeobox 6
chr9-131423518,cg18493244,chr9,131423518,"Intron (ENST00000682525.1/84726, intron 1 of 1)",49882,84726,PRRC2B,proline rich coiled-coil 2B
chr9-133580256,cg16909374,chr9,133580256,"Intron (ENST00000496132.2/642968, intron 1 of 2)",29133,642968,FAM163B,family with sequence similarity 163 member B
chr9-134010913,cg07872945,chr9,134010913,"Intron (ENST00000820249.1/ENST00000820249.1, intron 2 of 3)",-14568,266655,BRD3OS,BRD3 opposite strand
chr9-134725188,cg04779083,chr9,134725188,"Intron (ENST00000371817.8/1289, intron 4 of 65)",50483,124902301,LOC124902301,uncharacterized LOC124902301
chr9-34651964,cg09219038,chr9,34651964,Promoter,-198,3590,IL11RA,interleukin 11 receptor subunit alpha
chr9-6215639,cg21724662,chr9,6215639,Promoter,-147,90865,IL33,interleukin 33
chr9-97307724,cg01838004,chr9,97307724,5' UTR,420,100499483,CCDC180,coiled-coil domain containing 180
